Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def insertText(self, data, insertBefore=None):
        
        if insertBefore:
            self.insertBefore(tree.text(data), insertBefore)
        else:
            self.xml_append(tree.text(data))","

def func1(arg1, arg2, arg3=None):
    if arg3:
        self.insertBefore(tree.text(arg2), arg3)
    else:
        self.xml_append(tree.text(arg2))
",Insert data as text in the current node positioned before the start of node insertBefore or to the end of the node s text .,This function is called when an element is inserted or inserted .,Insert text data into the tree .,0,Prediction2,
"def post_notification(self, ntype, sender, *args, **kwargs):
        

        if(ntype==None or sender==None):
            raise NotificationError(
                ""Notification type and sender are required."")

        # If there are no registered observers for the type/sender pair
        if((ntype not in self.registered_types and
                None not in self.registered_types) or
            (sender not in self.registered_senders and
                None not in self.registered_senders)):
            return

        for o in self._observers_for_notification(ntype, sender):
            o(ntype, sender, *args, **kwargs)","

def func1(arg1, arg2, arg3, *arg4, **arg5):
    if ((arg2 == None) or (arg3 == None)):
        raise NotificationError('Notification type and sender are required.')
    if (((arg2 not in self.registered_types) and (None not in self.registered_types)) or ((arg3 not in self.registered_senders) and (None not in self.registered_senders))):
        return
    for var2 in self._observers_for_notification(arg2, arg3):
        o(arg2, arg3, *arg4, **arg5)
",Post notification to all registered observers .,Post a notification to all registered observers .,This function is called when a notification is received .,1,Prediction1,
"def init(self):
        

        # Drop cache flag set by .reset() method.
        cache.get('sitetrees_reset') and self.empty(init=False)

        self.cache = cache.get(
            'sitetrees', {'sitetrees': {}, 'parents': {}, 'items_by_ids': {}, 'tree_aliases': {}})","

def func1(arg1):
    (cache.get('sitetrees_reset') and self.empty(init=False))
    self.cache = cache.get('sitetrees', {'sitetrees': {}, 'parents': {}, 'items_by_ids': {}, 'tree_aliases': {}})
",Initializes local cache from Django cache .,This function is used to reset the site tree cache .,Initialize the tree cache .,0,Tie,
"def plot_time_series(self, f_start=None, f_stop=None, if_id=0, logged=True, orientation='h', MJD_time=False, **kwargs):
        

        ax = plt.gca()
        plot_f, plot_data = self.grab_data(f_start, f_stop, if_id)

        if logged and self.header[b'nbits'] >= 8:
            plot_data = db(plot_data)

        #Since the data has been squeezed, the axis for time goes away if only one bin, causing a bug with axis=1
        if len(plot_data.shape) > 1:
            plot_data = plot_data.mean(axis=1)
        else:
            plot_data = plot_data.mean()

        #Make proper time axis for plotting (but only for plotting!). Note that this makes the values inclusive.
        extent = self._calc_extent(plot_f=plot_f,plot_t=self.timestamps,MJD_time=MJD_time)
        plot_t = np.linspace(extent[2],extent[3],len(self.timestamps))

        if MJD_time:
            tlabel = ""Time [MJD]""
        else:
            tlabel = ""Time [s]""

        if logged:
            plabel = ""Power [dB]""
        else:
            plabel = ""Power [counts]""

        # Reverse oder if vertical orientation.
        if 'v' in orientation:
            plt.plot(plot_data, plot_t, **kwargs)
            plt.xlabel(plabel)

        else:
            plt.plot(plot_t, plot_data, **kwargs)
            plt.xlabel(tlabel)
            plt.ylabel(plabel)

        ax.autoscale(axis='both',tight=True)","

def func1(arg1, arg2=None, arg3=None, arg4=0, arg5=True, arg6='h', arg7=False, **arg8):
    var1 = plt.gca()
    (var2, var3) = self.grab_data(arg2, arg3, arg4)
    if (arg5 and (self.header[b'nbits'] >= 8)):
        var3 = db(var3)
    if (len(plot_data.shape) > 1):
        var3 = plot_data.mean(axis=1)
    else:
        var3 = plot_data.mean()
    var6 = self._calc_extent(plot_f=var2, plot_t=self.timestamps, MJD_time=arg7)
    var7 = np.linspace(var6[2], var6[3], len(self.timestamps))
    if arg7:
        var8 = 'Time [MJD]'
    else:
        var8 = 'Time [s]'
    if arg5:
        var9 = 'Power [dB]'
    else:
        var9 = 'Power [counts]'
    if ('v' in arg6):
        plt.plot(var3, var7, **arg8)
        plt.xlabel(var9)
    else:
        plt.plot(var7, var3, **arg8)
        plt.xlabel(var8)
        plt.ylabel(var9)
    ax.autoscale(axis='both', tight=True)
",Plot the time series .,Plot time series .,Function 1 for plotting data .,1,Tie,
"def parse_agi_result(line):
    
    # print(""--------------\n"", line)
    if line == 'HANGUP':
        return {'error': 'AGIResultHangup',
                'msg': 'User hungup during execution'}

    kwargs = dict(code=0, response="""", line=line)
    m = re_code.search(line)
    try:
        kwargs.update(m.groupdict())
    except AttributeError:
        # None has no attribute groupdict
        pass
    return agi_code_check(**kwargs)","

def func1(arg1):
    if (arg1 == 'HANGUP'):
        return {'error': 'AGIResultHangup', 'msg': 'User hungup during execution'}
    var1 = dict(code=0, response='', line=arg1)
    var3 = re_code.search(arg1)
    try:
        kwargs.update(m.groupdict())
    except AttributeError:
        pass
    return agi_code_check(**var1)
",Parse AGI results using Regular expression .,Parse an agi result line .,This function is called by agi_code_check and agi_code2 .,1,Prediction1,
"def plot_filters(filters):
    ''''''
    imgs = filters.get_value()

    N, channels, x, y = imgs.shape
    n = int(np.sqrt(N))
    assert n * n == N, 'filters must contain a square number of rows!'
    assert channels == 1 or channels == 3, 'can only plot grayscale or rgb filters!'

    img = np.zeros(((y+1) * n - 1, (x+1) * n - 1, channels), dtype=imgs[0].dtype)
    for i, pix in enumerate(imgs):
        r, c = divmod(i, n)
        img[r * (y+1):(r+1) * (y+1) - 1,
            c * (x+1):(c+1) * (x+1) - 1] = pix.transpose((1, 2, 0))

    img -= img.min()
    img /= img.max()

    ax = plt.gcf().add_subplot(111)
    ax.xaxis.set_visible(False)
    ax.yaxis.set_visible(False)
    ax.set_frame_on(False)
    ax.imshow(img.squeeze(), cmap=plt.cm.gray)","

def func1(arg1):
    ''
    var1 = filters.get_value()
    (var2, var3, var4, var5) = imgs.shape
    var6 = int(np.sqrt(var2))
    assert ((var6 * var6) == var2), 'filters must contain a square number of rows!'
    assert ((var3 == 1) or (var3 == 3)), 'can only plot grayscale or rgb filters!'
    var8 = np.zeros(((((var5 + 1) * var6) - 1), (((var4 + 1) * var6) - 1), var3), dtype=imgs[0].dtype)
    for (var9, var10) in enumerate(var1):
        (var12, var13) = divmod(var9, var6)
        var8[(var12 * (var5 + 1)):(((var12 + 1) * (var5 + 1)) - 1), (var13 * (var4 + 1)):(((var13 + 1) * (var4 + 1)) - 1)] = pix.transpose((1, 2, 0))
    var8 -= img.min()
    var8 /= img.max()
    var15 = plt.gcf().add_subplot(111)
    ax.xaxis.set_visible(False)
    ax.yaxis.set_visible(False)
    ax.set_frame_on(False)
    ax.imshow(img.squeeze(), cmap=plt.cm.gray)
",Create a plot of conv filters visualized as pixel arrays .,plot a grayscale or rgb filter,Function to plot grayscale or rgb filters .,1,Tie,
"def raises(*exceptions):
    
    valid = ' or '.join([e.__name__ for e in exceptions])
    def decorate(func):
        name = func.__name__
        def newfunc(*arg, **kw):
            try:
                func(*arg, **kw)
            except exceptions:
                pass
            except:
                raise
            else:
                message = ""%s() did not raise %s"" % (name, valid)
                raise AssertionError(message)
        newfunc = make_decorator(func)(newfunc)
        return newfunc
    return decorate","

def func3(*arg1):
    var1 = ' or '.join([e.__name__ for var2 in arg1])

    def func2(arg2):
        var3 = func.__name__

        def func1(*arg3, **arg4):
            try:
                func(*arg3, **arg4)
            except exceptions:
                pass
            except:
                raise
            else:
                var4 = ('%s() did not raise %s' % (var3, var1))
                raise AssertionError(var4)
        func1 = var6(arg2)(func1)
        return func1
    return func2
",Test must raise one of expected exceptions to pass .,Return a function that can be used as a decorator .,Decorator that ensures that the decorated function raises any of the given exceptions .,0,Prediction2,
"def analysis(self, morf):
        
        f, s, _, m, mf = self.analysis2(morf)
        return f, s, m, mf","

def func1(arg1, arg2):
    (var1, var2, var3, var4, var5) = self.analysis2(arg2)
    return (var1, var2, var4, var5)
",Like analysis2 but doesn t return excluded line numbers .,Returns the analysis of the given morf .,func1 returns a tuple of the first and second arguments,1,Prediction1,self.analysis in corrupted code should be self.func1
"def decompose(hangul_letter):
    

    from . import checker

    if len(hangul_letter) < 1:
        raise NotLetterException('')
    elif not checker.is_hangul(hangul_letter):
        raise NotHangulException('')

    if hangul_letter in CHO:
        return hangul_letter, '', ''

    if hangul_letter in JOONG:
        return '', hangul_letter, ''

    if hangul_letter in JONG:
        return '', '', hangul_letter

    code = hangul_index(hangul_letter)
    cho, joong, jong = decompose_index(code)

    if cho < 0:
        cho = 0

    try:
        return CHO[cho], JOONG[joong], JONG[jong]
    except:
        print(""%d / %d  / %d""%(cho, joong, jong))
        print(""%s / %s "" %( JOONG[joong].encode(""utf8""), JONG[jong].encode('utf8')))
        raise Exception()","

def func1(arg1):
    from . import checker
    if (len(arg1) < 1):
        raise NotLetterException('')
    elif (not checker.is_hangul(arg1)):
        raise NotHangulException('')
    if (arg1 in var4):
        return (arg1, '', '')
    if (arg1 in var5):
        return ('', arg1, '')
    if (arg1 in var6):
        return ('', '', arg1)
    var7 = hangul_index(arg1)
    (var9, var10, var11) = decompose_index(var7)
    if (var9 < 0):
        var9 = 0
    try:
        return (var4[var9], var5[var10], var6[var11])
    except:
        print(('%d / %d  / %d' % (var9, var10, var11)))
        print(('%s / %s ' % (JOONG[joong].encode('utf8'), JONG[jong].encode('utf8'))))
        raise Exception()
",This function returns letters by decomposing the specified Hangul letter .,Decompose a Hangul letter into its components .,A function to extract a value from a string .,1,Prediction1,discuss
"def _explored_parameters_in_group(traj, group_node):
    
    explored = False
    for param in traj.f_get_explored_parameters():
            if param in group_node:
                explored = True
                break

    return explored","

def func1(arg1, arg2):
    var1 = False
    for var2 in traj.f_get_explored_parameters():
        if (var2 in arg2):
            var1 = True
            break
    return var1
",Checks if one the parameters in group_node is explored .,Return True if all parameters in group_node are explored .,returns True if arg1 is in arg2 False otherwise,1,Prediction1,code corruption incorrect
"def localmax(x, axis=0):
    

    paddings = [(0, 0)] * x.ndim
    paddings[axis] = (1, 1)

    x_pad = np.pad(x, paddings, mode='edge')

    inds1 = [slice(None)] * x.ndim
    inds1[axis] = slice(0, -2)

    inds2 = [slice(None)] * x.ndim
    inds2[axis] = slice(2, x_pad.shape[axis])

    return (x > x_pad[tuple(inds1)]) & (x >= x_pad[tuple(inds2)])","

def func1(arg1, arg2=0):
    var1 = ([(0, 0)] * x.ndim)
    var1[arg2] = (1, 1)
    var2 = np.pad(arg1, var1, mode='edge')
    var3 = ([slice(None)] * x.ndim)
    var3[arg2] = slice(0, (- 2))
    var5 = ([slice(None)] * x.ndim)
    var5[arg2] = slice(2, x_pad.shape[arg2])
    return ((arg1 > var2[tuple(var3)]) & (arg1 >= var2[tuple(var5)]))
",Find local maxima in an array x .,Return True if arg1 > arg2 .,Returns True if x is the maximum of the given axis .,0,Prediction2,code corruption incorrect
"def standard(cls, element):
        

        # We remove all special characters and return the formatted string.
        return (
            Regex(element, cls.regex_replace, replace_with=""@funilrys"")
            .replace()
            .replace(""@funilrys"", """")
        )","

def func1(arg1, arg2):
    return Regex(element, cls.regex_replace, replace_with='@funilrys').replace().replace('@funilrys', '')
",Implement the standard and alphabetical sorting .,Returns a Regex that matches arg1 and arg2 .,Return the standard string for the given element .,0,Prediction2,
"def tiny(x):
    '''
    '''

    # Make sure we have an array view
    x = np.asarray(x)

    # Only floating types generate a tiny
    if np.issubdtype(x.dtype, np.floating) or np.issubdtype(x.dtype, np.complexfloating):
        dtype = x.dtype
    else:
        dtype = np.float32

    return np.finfo(dtype).tiny","

def func1(arg1):
    '\n    '
    arg1 = np.asarray(arg1)
    if (np.issubdtype(x.dtype, np.floating) or np.issubdtype(x.dtype, np.complexfloating)):
        var1 = x.dtype
    else:
        var1 = np.float32
    return np.finfo(dtype).tiny
",Compute the tiny - value corresponding to an input s data type .,\ n,Convert an array of floats to float32 .,0,Prediction2,
"def position(self):
    
    pos = self._position
    if pos is None and self.children:
      ch1 = self.children[0]
      if isinstance(ch1, ParseNode):
        pos = ch1.position
    return pos","

def func1(arg1):
    var1 = self._position
    if ((var1 is None) and self.children):
        var2 = self.children[0]
        if isinstance(var2, var4):
            var1 = ch1.position
    return var1
",Gets the position of the text the ParseNode processed . If the ParseNode does not have its own position it looks to its first child for its position .,Return the position of the first child of this node .,Return the current position of the parse node .,0,Tie,
"def _find_jar(self, path0=None):
        
        jar_paths = [path0] if path0 else self._jar_paths()
        searched_paths = []
        for jp in jar_paths:
            searched_paths.append(jp)
            if os.path.exists(jp):
                return jp
        raise H2OStartupError(""Cannot start local server: h2o.jar not found. Paths searched:\n"" +
                              """".join(""    %s\n"" % s for s in searched_paths))","

def func1(arg1, arg2=None):
    var1 = ([arg2] if arg2 else self._jar_paths())
    var2 = []
    for var3 in var1:
        searched_paths.append(var3)
        if os.path.exists(var3):
            return var3
    raise H2OStartupError(('Cannot start local server: h2o.jar not found. Paths searched:\n' + ''.join((('    %s\n' % var5) for var5 in var2))))
",Return the location of an h2o . jar executable .,Return the path to the h2o . jar file .,Find the path to the h2o . jar file .,0,Tie,
"def iter_osm_notes(feed_limit=25, interval=60, parse_timestamps=True):
    

    last_seen_guid = None
    while True:
        u = urllib2.urlopen('https://www.openstreetmap.org/api/0.6/notes/feed?limit=%d' % feed_limit)

        tree = etree.parse(u)

        new_notes = []
        for note_item in tree.xpath('/rss/channel/item'):
            title = note_item.xpath('title')[0].text

            if title.startswith('new note ('):
                action = 'create'
            elif title.startswith('new comment ('):
                action = 'comment'
            elif title.startswith('closed note ('):
                action = 'close'

            # Note that (at least for now) the link and guid are the same in the feed.
            guid = note_item.xpath('link')[0].text

            if last_seen_guid == guid:
                break
            elif last_seen_guid == None:
                # The first time through we want the first item to be the ""last seen""
                # because the RSS feed is newest-to-oldest
                last_seen_guid = guid
            else:
                note_id = int(guid.split('/')[-1].split('#c')[0])
                new_notes.append((action, get_note(note_id, parse_timestamps)))

        # We yield the reversed list because we want to yield in change order
        # (i.e. ""oldest to most current"")
        for note in reversed(new_notes):
            yield note

        yield model.Finished(None, None)

        time.sleep(interval)","

def func1(arg1=25, arg2=60, arg3=True):
    var1 = None
    while True:
        var2 = urllib2.urlopen(('https://www.openstreetmap.org/api/0.6/notes/feed?limit=%d' % arg1))
        var3 = etree.parse(var2)
        var4 = []
        for var5 in tree.xpath('/rss/channel/item'):
            var6 = note_item.xpath('title')[0].text
            if title.startswith('new note ('):
                var7 = 'create'
            elif title.startswith('new comment ('):
                var7 = 'comment'
            elif title.startswith('closed note ('):
                var7 = 'close'
            var8 = note_item.xpath('link')[0].text
            if (var1 == var8):
                break
            elif (var1 == None):
                var1 = var8
            else:
                var9 = int(guid.split('/')[(- 1)].split('#c')[0])
                new_notes.append((var7, get_note(var9, arg3)))
        for var12 in reversed(var4):
            (yield var12)
        (yield model.Finished(None, None))
        time.sleep(arg2)
",Parses the global OSM Notes feed and yields as much Note information as possible .,A generator function that returns a list of new notes .,Return an iterator over the OpenStreetMap notes .,0,Prediction2,
"def list_filenames_in_directory(self, dirname):
        
        prefix = self._create_prefix(dirname)
        filenames = []
        for obj in self._bucket.objects.filter(Prefix=prefix):
            if obj.key.endswith('/'):
                # a directory redirect object, not a file
                continue
            obj_dirname = os.path.dirname(obj.key)
            if obj_dirname == prefix:
                # object is at root of directory
                filenames.append(os.path.relpath(obj.key,
                                                 start=prefix))
        return filenames","

def func1(arg1, arg2):
    var1 = self._create_prefix(arg2)
    var2 = []
    for var3 in self._bucket.objects.filter(Prefix=var1):
        if obj.key.endswith('/'):
            continue
        var4 = os.path.dirname(obj.key)
        if (var4 == var1):
            filenames.append(os.path.relpath(obj.key, start=var1))
    return var2
",List all file - type object names that exist at the root of this bucket directory .,Return a list of all filenames in a directory .,Return a list of filenames that are relative to arg2 .,1,Prediction1,
"def get_reason(self):
        
        for i in range(_lib.X509_REVOKED_get_ext_count(self._revoked)):
            ext = _lib.X509_REVOKED_get_ext(self._revoked, i)
            obj = _lib.X509_EXTENSION_get_object(ext)
            if _lib.OBJ_obj2nid(obj) == _lib.NID_crl_reason:
                bio = _new_mem_buf()

                print_result = _lib.X509V3_EXT_print(bio, ext, 0, 0)
                if not print_result:
                    print_result = _lib.M_ASN1_OCTET_STRING_print(
                        bio, _lib.X509_EXTENSION_get_data(ext)
                    )
                    _openssl_assert(print_result != 0)

                return _bio_to_string(bio)","

def func1(arg1):
    for var1 in range(_lib.X509_REVOKED_get_ext_count(self._revoked)):
        var3 = _lib.X509_REVOKED_get_ext(self._revoked, var1)
        var4 = _lib.X509_EXTENSION_get_object(var3)
        if (_lib.OBJ_obj2nid(var4) == _lib.NID_crl_reason):
            var5 = _new_mem_buf()
            var7 = _lib.X509V3_EXT_print(var5, var3, 0, 0)
            if (not var7):
                var7 = _lib.M_ASN1_OCTET_STRING_print(var5, _lib.X509_EXTENSION_get_data(var3))
                _openssl_assert((var7 != 0))
            return _bio_to_string(var5)
",Get the reason of this revocation .,Get the reason for this certificate .,X509_REVOKED_get_ext function .,1,Prediction1,
"def start_event_loop_wx(app=None):
    
    if app is None:
        app = get_app_wx()
    if not is_event_loop_running_wx(app):
        app._in_event_loop = True
        app.MainLoop()
        app._in_event_loop = False
    else:
        app._in_event_loop = True","

def func1(arg1=None):
    if (arg1 is None):
        arg1 = get_app_wx()
    if (not is_event_loop_running_wx(arg1)):
        app._in_event_loop = True
        app.MainLoop()
        app._in_event_loop = False
    else:
        app._in_event_loop = True
",Start the wx event loop in a consistent manner .,This function is called when a wx event loop is started .,Starts the wx event loop .,0,Tie,
"def add_files(self, *filenames: str, owner: str=SANDBOX_USERNAME, read_only: bool=False):
        
        if owner != SANDBOX_USERNAME and owner != 'root':
            raise ValueError('Invalid value for parameter ""owner"": {}'.format(owner))

        with tempfile.TemporaryFile() as f, \
                tarfile.TarFile(fileobj=f, mode='w') as tar_file:
            for filename in filenames:
                tar_file.add(filename, arcname=os.path.basename(filename))

            f.seek(0)
            subprocess.check_call(
                ['docker', 'cp', '-',
                 self.name + ':' + SANDBOX_WORKING_DIR_NAME],
                stdin=f)

            file_basenames = [os.path.basename(filename) for filename in filenames]
            if owner == SANDBOX_USERNAME:
                self._chown_files(file_basenames)

            if read_only:
                chmod_cmd = ['chmod', '444'] + file_basenames
                self.run_command(chmod_cmd, as_root=True)","

def func1(arg1, *arg2: str, arg3: str=var1, arg4: bool=False):
    if ((arg3 != var1) and (arg3 != 'root')):
        raise ValueError('Invalid value for parameter ""owner"": {}'.format(arg3))
    with tempfile.TemporaryFile() as var3, tarfile.TarFile(fileobj=var3, mode='w') as var4:
        for var5 in arg2:
            tar_file.add(var5, arcname=os.path.basename(var5))
        f.seek(0)
        subprocess.check_call(['docker', 'cp', '-', ((self.name + ':') + var6)], stdin=var3)
        var7 = [os.path.basename(var5) for var5 in arg2]
        if (arg3 == var1):
            self._chown_files(var7)
        if arg4:
            var8 = (['chmod', '444'] + var7)
            self.run_command(var8, as_root=True)
",Copies the specified files into the working directory of this sandbox . The filenames specified can be absolute paths or relative paths to the current working directory .,Run a docker command .,Add files to the container .,0,Prediction2,
