Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label
"function determineKesClass(options, Kes) {
  let KesOverride;

  // If there is a kes class specified, use that
  const kesClass = get(options, 'kesClass');
  if (kesClass) {
    KesOverride = loadKesOverride(process.cwd(), kesClass);
  }
  else {
    let kesFolder;

    // Check if there is kes.js in the kes folder
    if (options.kesFolder) {
      kesFolder = options.kesFolder;
    }
    else {
      kesFolder = path.join(process.cwd(), '.kes');
    }
    KesOverride = loadKesOverride(kesFolder);

    // If the first Kes override didn't load, check if there is
    // a kes.js in the template folder.
    if (!KesOverride) {
      const template = get(options, 'template', '/path/to/nowhere');
      kesFolder = path.join(process.cwd(), template);
      KesOverride = loadKesOverride(kesFolder);
    }
  }

  return KesOverride || Kes;
}","function func0(variable0, variable1) {
    let variable2;
    const variable3 = get(variable0, 'kesClass');
    if (variable3) {
        variable2 = loadKesOverride(process.cwd(), variable3);
    } else {
        let kesFolder;
        if (variable0.kesFolder) {
            kesFolder = variable0.kesFolder;
        } else {
            kesFolder = path.join(process.cwd(), '.kes');
        }
        variable2 = loadKesOverride(kesFolder);
        if (!variable2) {
            const template = get(variable0, 'template', '/path/to/nowhere');
            kesFolder = path.join(process.cwd(), template);
            variable2 = loadKesOverride(kesFolder);
        }
    }
    return variable2 || variable1;
}",Based on the information passed from the CLI by the commander module this function determines whether to use the default Kes class or use the override class provided by the user,Loads the . kes file from the config .,function 0 - > variable1 - > variable0 - > variable1,1,Prediction1
"function attemptRender(reporter, filename, src, resolve, reject, globals) {
	globals = globals || {};
	less.render(src, {
		// Specify search paths for @import directives
		paths : [
			""public/static/less""
		],
		// Specify a filename, for better error messages
		filename : filename,
		modifyVars : globals,
		compress : false
	}, function(e, css) {
		if (e) {
			if ((/^variable @(.+?) is undefined$/).test(e.message)) {
				// ignore undef variable
				globals[(/^variable @(.+?) is undefined$/).exec(e.message)[1]] = ""1"";
				attemptRender(reporter, filename, src, resolve, reject, globals);
				return;
			}
			reporter(""LESS"", filename, e.line, e.message);
			reject();
			return;
		}
		resolve({
			filename : filename,
			src : css.css || css
		});
	});
}","function func0(variable0, variable1, variable2, variable3, variable4, variable5) {
    variable5 = variable5 || {};
    less.render(variable2, {
        paths: ['public/static/less'],
        variable1: variable1,
        modifyVars: variable5,
        compress: false
    }, function (e, css) {
        if (e) {
            if (/^variable @(.+?) is undefined$/.test(e.message)) {
                variable5[/^variable @(.+?) is undefined$/.exec(e.message)[1]] = '1';
                func0(variable0, variable1, variable2, variable3, variable4, variable5);
                return;
            }
            variable0('LESS', variable1, e.line, e.message);
            variable4();
            return;
        }
        variable3({
            variable1: variable1,
            variable2: css.css || css
        });
    });
}",Attempt to validate the less file,Compile a less file .,Call variable0 with variable1 variable2 and variable3,1,Prediction1
"function killAttrs(model, attrs) {
  for (var i = 0; i < attrs.length; i++) {
    delete model[attrs[i]];
  }
}","function func0(variable0, variable1) {
    for (var i = 0; i < variable1.length; i++) {
        delete variable0[variable1[i]];
    }
}",remove attributes from a model,Function that deletes the values of variable0 from variable1,Remove a set of properties from an object .,0,Prediction2
"function publish(sChannelId, sEvent, oData) {
  const aSubscribers = copyArray(this.subscribers(sChannelId, sEvent));
  let oSubscriber;
  const nLenSubscribers = aSubscribers.length;
  if (nLenSubscribers === 0) {
    return false;
  }
  oData = preprocessorsPublishData(oData);
  while (!!(oSubscriber = aSubscribers.shift())) {
    _executeHandler(oSubscriber, oData, sChannelId, sEvent);
  }
  return true;
}","function func0(variable0, variable1, variable2) {
    const variable3 = copyArray(this.subscribers(variable0, variable1));
    let variable4;
    const variable5 = variable3.length;
    if (variable5 === 0) {
        return false;
    }
    variable2 = preprocessorsPublishData(variable2);
    while (!!(variable4 = variable3.shift())) {
        _executeHandler(variable4, variable2, variable0, variable1);
    }
    return true;
}",Publish the event in one channel .,Publishes data to all subscribers .,This function is the function that is called when the function is called .,1,Prediction1
"function requireBody(paramsList) {
  return function (req, res, next) {
    var errors = [];
    var status = 'ok';

    for (var i = 0; i < paramsList.length; i++) {
      var val = req.body[paramsList[i]];

      if (!val) {
        errors.push(`required parameter \`${paramsList[i]}\` not found.`);
        status = 'error';
      }
    }

    if (errors.length === 0) {
      next();
    } else {
      return res.status(400).json({
        errors: errors,
        status: status
      });
    }
  };
}","function func0(variable0) {
    return function (req, res, next) {
        var errors = [];
        var status = 'ok';
        for (var i = 0; i < variable0.length; i++) {
            var val = req.body[variable0[i]];
            if (!val) {
                errors.push(`required parameter \`${ variable0[i] }\` not found.`);
                status = 'error';
            }
        }
        if (errors.length === 0) {
            next();
        } else {
            return res.status(400).json({
                errors: errors,
                status: status
            });
        }
    };
}",Require the specified req . body parameters or else return a 400 with a descriptive JSON body,Returns a function that checks if a required parameter is present in req . body,Creates a middleware that checks for required parameters .,0,Prediction2
"function findSourceFile(fileName, isDefaultLib, refFile, refPos, refEnd) {
            if (filesByName.contains(fileName)) {
                // We've already looked for this file, use cached result
                return getSourceFileFromCache(fileName, /*useAbsolutePath*/ false);
            }
            var normalizedAbsolutePath = ts.getNormalizedAbsolutePath(fileName, host.getCurrentDirectory());
            if (filesByName.contains(normalizedAbsolutePath)) {
                var file_1 = getSourceFileFromCache(normalizedAbsolutePath, /*useAbsolutePath*/ true);
                // we don't have resolution for this relative file name but the match was found by absolute file name
                // store resolution for relative name as well
                filesByName.set(fileName, file_1);
                return file_1;
            }
            // We haven't looked for this file, do so now and cache result
            var file = host.getSourceFile(fileName, options.target, function (hostErrorMessage) {
                if (refFile !== undefined && refPos !== undefined && refEnd !== undefined) {
                    fileProcessingDiagnostics.add(ts.createFileDiagnostic(refFile, refPos, refEnd - refPos, ts.Diagnostics.Cannot_read_file_0_Colon_1, fileName, hostErrorMessage));
                }
                else {
                    fileProcessingDiagnostics.add(ts.createCompilerDiagnostic(ts.Diagnostics.Cannot_read_file_0_Colon_1, fileName, hostErrorMessage));
                }
            });
            filesByName.set(fileName, file);
            if (file) {
                skipDefaultLib = skipDefaultLib || file.hasNoDefaultLib;
                // Set the source file for normalized absolute path
                filesByName.set(normalizedAbsolutePath, file);
                var basePath = ts.getDirectoryPath(fileName);
                if (!options.noResolve) {
                    processReferencedFiles(file, basePath);
                }
                // always process imported modules to record module name resolutions
                processImportedModules(file, basePath);
                if (isDefaultLib) {
                    file.isDefaultLib = true;
                    files.unshift(file);
                }
                else {
                    files.push(file);
                }
            }
            return file;
            function getSourceFileFromCache(fileName, useAbsolutePath) {
                var file = filesByName.get(fileName);
                if (file && host.useCaseSensitiveFileNames()) {
                    var sourceFileName = useAbsolutePath ? ts.getNormalizedAbsolutePath(file.fileName, host.getCurrentDirectory()) : file.fileName;
                    if (ts.normalizeSlashes(fileName) !== ts.normalizeSlashes(sourceFileName)) {
                        if (refFile !== undefined && refPos !== undefined && refEnd !== undefined) {
                            fileProcessingDiagnostics.add(ts.createFileDiagnostic(refFile, refPos, refEnd - refPos, ts.Diagnostics.File_name_0_differs_from_already_included_file_name_1_only_in_casing, fileName, sourceFileName));
                        }
                        else {
                            fileProcessingDiagnostics.add(ts.createCompilerDiagnostic(ts.Diagnostics.File_name_0_differs_from_already_included_file_name_1_only_in_casing, fileName, sourceFileName));
                        }
                    }
                }
                return file;
            }
        }","function func0(variable0, variable1, variable2, variable3, variable4) {
    if (filesByName.contains(variable0)) {
        return func1(variable0, false);
    }
    var variable5 = ts.getNormalizedAbsolutePath(variable0, host.getCurrentDirectory());
    if (filesByName.contains(variable5)) {
        var file_1 = func1(variable5, true);
        filesByName.set(variable0, file_1);
        return file_1;
    }
    var variable6 = host.getSourceFile(variable0, options.target, function (hostErrorMessage) {
        if (variable2 !== undefined && variable3 !== undefined && variable4 !== undefined) {
            fileProcessingDiagnostics.add(ts.createFileDiagnostic(variable2, variable3, variable4 - variable3, ts.Diagnostics.Cannot_read_file_0_Colon_1, variable0, hostErrorMessage));
        } else {
            fileProcessingDiagnostics.add(ts.createCompilerDiagnostic(ts.Diagnostics.Cannot_read_file_0_Colon_1, variable0, hostErrorMessage));
        }
    });
    filesByName.set(variable0, variable6);
    if (variable6) {
        skipDefaultLib = skipDefaultLib || variable6.hasNoDefaultLib;
        filesByName.set(variable5, variable6);
        var basePath = ts.getDirectoryPath(variable0);
        if (!options.noResolve) {
            processReferencedFiles(variable6, basePath);
        }
        processImportedModules(variable6, basePath);
        if (variable1) {
            variable6.variable1 = true;
            files.unshift(variable6);
        } else {
            files.push(variable6);
        }
    }
    return variable6;
    function func1(variable0, variable7) {
        var variable6 = filesByName.get(variable0);
        if (variable6 && host.useCaseSensitiveFileNames()) {
            var sourceFileName = variable7 ? ts.getNormalizedAbsolutePath(variable6.variable0, host.getCurrentDirectory()) : variable6.variable0;
            if (ts.normalizeSlashes(variable0) !== ts.normalizeSlashes(sourceFileName)) {
                if (variable2 !== undefined && variable3 !== undefined && variable4 !== undefined) {
                    fileProcessingDiagnostics.add(ts.createFileDiagnostic(variable2, variable3, variable4 - variable3, ts.Diagnostics.File_name_0_differs_from_already_included_file_name_1_only_in_casing, variable0, sourceFileName));
                } else {
                    fileProcessingDiagnostics.add(ts.createCompilerDiagnostic(ts.Diagnostics.File_name_0_differs_from_already_included_file_name_1_only_in_casing, variable0, sourceFileName));
                }
            }
        }
        return variable6;
    }
}",Get source file from normalized fileName,Get a file from the current working directory .,This function returns a file or false if the file does not exist .,1,Prediction1
"function injectProxyHeaders(req, rule){
  // the HTTP host header is often needed by the target webserver config
  req.headers['host'] = rule.target.host + (rule.target.originalPort ? util.format(':%d', rule.target.originalPort) : '');
  // document that this request was proxied
  req.headers['via'] =  util.format('http://%s:%s', req.connection.address().address, req.connection.address().port);

  // inject any custom headers as configured
  config.headers.forEach(function(header) {
    var value = header.value,
        name = header.name;

    if(typeof(value) === 'function') {
      value = value.call(undefined, req);
    }

    if(typeof(value) !== 'string') {
      value = '';
    }

    if (typeof(name) === 'string') {
      req.headers[name.toLowerCase()] = value;
    }
  });

  injectAuthHeader(req);
}","function func0(variable0, variable1) {
    variable0.headers['host'] = variable1.target.host + (variable1.target.originalPort ? util.format(':%d', variable1.target.originalPort) : '');
    variable0.headers['via'] = util.format('http://%s:%s', variable0.connection.address().address, variable0.connection.address().port);
    config.headers.forEach(function (header) {
        var value = header.value, name = header.name;
        if (typeof value === 'function') {
            value = value.call(undefined, variable0);
        }
        if (typeof value !== 'string') {
            value = '';
        }
        if (typeof name === 'string') {
            variable0.headers[name.toLowerCase()] = value;
        }
    });
    injectAuthHeader(variable0);
}",inject any custom header values into a proxy request along with the x - forwarded - for x - forwarded - port and via headers,inject auth header to variable0,Injects the HTTP headers into the request .,0,Prediction2
"function suggest_tick_num(domain) {
	var MAX_TICKS = 10;
	var INTERVAL_BASE_VALS = [1, 2, 2.5, 5, 10, 25];
	var range = Math.abs(domain[0] - domain[1])
	var minimum = range / MAX_TICKS;
	var digits = Math.floor(range).toString().length;
	var multiplier = Math.pow(10, (digits - 2));

	var acceptable_intervals = reduce(INTERVAL_BASE_VALS, function(prev, curr) {
		var mult = curr * multiplier;

		if (mult >= minimum) {
			prev = prev.concat([mult]);
		}

		return prev;
	}, []);

	for (var i = 0; i < acceptable_intervals.length; i++) {
		var interval = acceptable_intervals[i]
		if(range % interval == 0) {
			return (range / interval) + 1
		}
	};

	return 11;
}","function func0(variable0) {
    var variable1 = 10;
    var variable2 = [
        1,
        2,
        2.5,
        5,
        10,
        25
    ];
    var variable3 = Math.abs(variable0[0] - variable0[1]);
    var variable4 = variable3 / variable1;
    var variable5 = Math.floor(variable3).function toString() { [native code] }().length;
    var variable6 = Math.pow(10, variable5 - 2);
    var variable7 = reduce(variable2, function (prev, curr) {
        var mult = curr * variable6;
        if (mult >= variable4) {
            prev = prev.concat([mult]);
        }
        return prev;
    }, []);
    for (var i = 0; i < variable7.length; i++) {
        var variable8 = variable7[i];
        if (variable3 % variable8 == 0) {
            return variable3 / variable8 + 1;
        }
    }
    ;
    return 11;
}",Given a the domain of a scale suggest the most numerous number of round number ticks that it cold be divided into while still containing values evenly divisible by 1 2 2 . 5 5 10 or 25 .,Returns the number of times a point is in the range [ 1 2 5 10 25 ) .,Returns the value of the function 0 .,1,Prediction1
"function extractStringLiteral() {
    var literal = [], enclosing = next();

    if(!(enclosing === '""' || enclosing === ""'"")) {
      throw ""Unexpected token at index "" + index +
        "" expected 'string' but found "" + enclosing;
    }

    while(hasNext() && peek() !== enclosing) {
      literal[literal.length] = next();
    }

    consume(); // ' or ""
    return literal.join('');
  }","function func0() {
    var variable0 = [], variable1 = next();
    if (!(variable1 === '""' || variable1 === '\'')) {
        throw 'Unexpected token at index ' + index + ' expected \'string\' but found ' + variable1;
    }
    while (hasNext() && peek() !== variable1) {
        variable0[variable0.length] = next();
    }
    consume();
    return variable0.join('');
}",String literals might start with or,Read a string from the input .,Parse variable 0,1,
"function getCompletionEntryDisplayName(name, target, performCharacterChecks) {
            if (!name) {
                return undefined;
            }
            name = ts.stripQuotes(name);
            if (!name) {
                return undefined;
            }
            // If the user entered name for the symbol was quoted, removing the quotes is not enough, as the name could be an
            // invalid identifier name. We need to check if whatever was inside the quotes is actually a valid identifier name.
            // e.g ""b a"" is valid quoted name but when we strip off the quotes, it is invalid.
            // We, thus, need to check if whatever was inside the quotes is actually a valid identifier name.
            if (performCharacterChecks) {
                if (!ts.isIdentifierStart(name.charCodeAt(0), target)) {
                    return undefined;
                }
                for (var i = 1, n = name.length; i < n; i++) {
                    if (!ts.isIdentifierPart(name.charCodeAt(i), target)) {
                        return undefined;
                    }
                }
            }
            return name;
        }","function func0(variable0, variable1, variable2) {
    if (!variable0) {
        return undefined;
    }
    variable0 = ts.stripQuotes(variable0);
    if (!variable0) {
        return undefined;
    }
    if (variable2) {
        if (!ts.isIdentifierStart(variable0.charCodeAt(0), variable1)) {
            return undefined;
        }
        for (var i = 1, n = variable0.length; i < n; i++) {
            if (!ts.isIdentifierPart(variable0.charCodeAt(i), variable1)) {
                return undefined;
            }
        }
    }
    return variable0;
}",Get a displayName from a given for completion list performing any necessary quotes stripping and checking whether the name is valid identifier name .,Check if variable0 starts with variable1 and is part of variable2,Removes quotes from a string .,0,Prediction2
"function isDeclarationName(name) {
        if (name.kind !== 69 /* Identifier */ && name.kind !== 9 /* StringLiteral */ && name.kind !== 8 /* NumericLiteral */) {
            return false;
        }
        var parent = name.parent;
        if (parent.kind === 226 /* ImportSpecifier */ || parent.kind === 230 /* ExportSpecifier */) {
            if (parent.propertyName) {
                return true;
            }
        }
        if (isDeclaration(parent)) {
            return parent.name === name;
        }
        return false;
    }","function func0(variable0) {
    if (variable0.kind !== 69 && variable0.kind !== 9 && variable0.kind !== 8) {
        return false;
    }
    var variable1 = variable0.variable1;
    if (variable1.kind === 226 || variable1.kind === 230) {
        if (variable1.propertyName) {
            return true;
        }
    }
    if (isDeclaration(variable1)) {
        return variable1.variable0 === variable0;
    }
    return false;
}",True if the given identifier string literal or number literal is the name of a declaration node,Checks if a node is a property declaration or not .,Returns true if variable0 is the same as variable1,1,Prediction1
